Scale Name,Scale Abreviation,Harm Component,Harm Sub-Component,Harm Indicator,Item,Recall Period,Dichotomous or Polytomous?,Response Options,Harm/Behaviour/Opportunity Cost*,Authors,Citation
Central Queensland University Harms Inventory,Harms,Resources,Finances,Loss of resources,"Loss of supply of utilities (electricity, gas, etc.)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Loss of resources,Needed emergency or temporary accommodation,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Extra work,Took on additional employment,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Financial crisis,"Loss of significant assets (e.g. car, home, business, superannuation)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Used more social resources,Needed assistance from welfare organisations (food banks or emergency bill payments),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Sold things,Sold personal items,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Borrowing,Increased credit card debt,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Less spending,"Less spending on beneficial expenses such as insurances, education, car and home maintenance",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Less essential spending,"Less spending on essential expenses such as medications, healthcare and food",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Missed payments,"Late payments on bills (e.g. utilities, rates)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Less spending,"Less spending on recreational expenses such as eating out, going to movies or other entertainment",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Less saving,Reduction of my savings,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Finances,Less spending,Reduction of my available spending money,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Lost work,Excluded from study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Lost work,Lost my job,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Work conflict,Conflict with my colleagues,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Lost work,Hindered my job-seeking efforts,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Used work resources,Used my work or study resources to gamble,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Lost progress,Lack of progression in my job or study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Used work resources,Used my work or study time to gamble,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Missed work,Was absent from work or study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Missed work,Was late for work or study,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Work & Study,Missed work,Reduced performance at work or study (i.e. due to tiredness or distraction),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Impact on Health,Required emergency medical treatment for health issues caused or exacerbated by gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Overconsumption,Ate too much,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Mental Health Crisis,Attempted suicide,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Mental Health Crisis,Committed acts of self-harm,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Ignored needs,"Unhygienic living conditions (living rough, neglected or unclean housing, etc.)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Used more social resources,Increased use of health services due to health issues caused or exacerbated by my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Ignored needs,Neglected my medical needs (including taking prescribed medications),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Ignored needs,Neglected my hygiene and self-care,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Overconsumption,Increased my consumption of alcohol,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Ignored needs,Didn't eat as much or often as I should,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Overconsumption,Increased my use of tobacco,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Ignored needs,Reduced physical activity due to my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Impact on Health,"Stress related health problems (e.g. high blood pressure, headaches)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Sleep impact,Loss of sleep due to spending time gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Impact on Health,Increased experience of depression,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Physical,Sleep impact,Loss of sleep due to stress or worry about gambling or gambling-related problems,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative mental health,Thoughts of running away or escape,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Felt worthless,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Felt insecure or vulnerable,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Feelings of extreme distress,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Felt like a failure,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Distress,Feelings of hopelessness about gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Distress,Felt distressed about my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Uncontrolled Gambling,Mental,Distress,Felt angry about not controlling my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Felt ashamed of my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Health,Mental,Negative self evaluation,Had regrets that made me feel sorry about my gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Relationship breakdown,Actual separation or ending a relationship/s,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Relationship Tension,Felt belittled in my relationships,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Relationship breakdown,Threat of separation or ending a relationship/s,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Social,Isolation,Social isolation (felt excluded or shut-off from others),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Less Social Enjoyment,Got less enjoyment from time spent with people I care about,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Behaviour,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,More conflict,"Experienced greater conflict in my relationships (arguing, fighting, ultimatums)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Social,Less Social Enjoyment,Spent less time attending social events (non-gambling-related),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Relationship Tension,"Experienced greater tension in my relationships (suspicion, lying, resentment, etc.)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Ignored relationships,Neglected my relationship responsibilities,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Ignored relationships,Spent less time with people I care about,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Ignore children,Left children unsupervised,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Crime,Crime not related to gambling,Arrested for unsafe driving,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Community,Negative self evaluation,Felt that I had shamed my family name within my religious or cultural community,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Crime,Violent crime related to gambling,Had experiences with violence (include family/domestic violence),Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Resources,Crime,Crime related to gambling,"Petty theft or dishonesty in respect to government, businesses or other people (not family/friends)",Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Close/Personal,Ignore children,Didn't fully attend to needs of children,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Community,Social isolation,Felt less connected to my religious or cultural community,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Community,Social isolation,Outcast from religious or cultural community due to involvement with gambling,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Harm,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
Central Queensland University Harms Inventory,Harms,Relationships,Community,Less social engagment,Reduced my contribution to religious or cultural practices,Focus on the 12-month period of your life when gambling was causing you the most problems,Dichotomous,No; Yes,Opportunity Cost,Li et al. ,"Li, E., Browne, M., Rawat, V., Langham, E., & Rockloff, M. (2017). Breaking bad: Comparing gambling harms among gamblers and affected others. Journal of gambling studies, 33, 223-248."
